Loss Train,Loss Test,F1 Train,F1 Test
1.9805496003892686,1.1085184514522552,0.5105263157894737,0.546875
1.2076739536391363,1.2629222571849823,0.45964912280701753,0.6015625
1.1518179310692682,1.1048651337623596,0.531578947368421,0.390625
1.0489563875728183,1.0954141467809677,0.48771929824561405,0.5859375
1.005232526196374,1.0903210937976837,0.5508771929824562,0.59375
1.0286013815138075,1.0903210937976837,0.5333333333333333,0.59375
1.0089252723587885,1.0478703379631042,0.5140350877192983,0.5078125
1.0257033904393513,1.0468601882457733,0.49298245614035086,0.5546875
1.0116320649782817,1.0164422988891602,0.5210526315789473,0.5234375
0.965172721279992,0.991519957780838,0.519298245614035,0.4921875
0.9210017919540405,1.0009815096855164,0.5491228070175439,0.40625
0.9499653114212884,0.9442302286624908,0.5157894736842106,0.5703125
0.9151345292727152,0.9219494163990021,0.5017543859649123,0.5
0.8930321004655626,0.9250950813293457,0.4964912280701754,0.6015625
0.8821745978461372,0.9215095639228821,0.5491228070175439,0.59375
0.8667881555027432,0.9215095639228821,0.5368421052631579,0.59375
0.8567355473836263,0.9049231112003326,0.5368421052631579,0.546875
0.8491547306378683,0.9103506952524185,0.5719298245614035,0.6015625
0.8532872200012207,0.9908640384674072,0.531578947368421,0.6171875
0.8818686736954583,1.006354495882988,0.5385964912280702,0.5703125
0.8729964759614732,0.8588579744100571,0.5385964912280702,0.640625
0.7969435254732767,0.8276638388633728,0.5473684210526316,0.6015625
0.7753836711247762,0.8100682497024536,0.5771929824561404,0.5390625
0.7848149339358012,0.8421530574560165,0.5421052631578948,0.6484375
0.7665620976024203,0.8007216453552246,0.6368421052631579,0.578125
0.7598428063922458,0.8007216453552246,0.5701754385964912,0.578125
0.7475183010101318,0.7997105717658997,0.5719298245614035,0.578125
0.7559122509426541,0.7936794608831406,0.5964912280701754,0.578125
0.7439821693632338,0.7934659123420715,0.6087719298245614,0.6484375
0.7275157041019864,0.7941459268331528,0.5964912280701754,0.6484375
0.7685784962442186,0.7992684990167618,0.5649122807017544,0.6328125
0.7142331202824911,0.7459656596183777,0.6140350877192983,0.515625
0.7009862727589078,0.7293038368225098,0.6280701754385964,0.578125
0.6819238132900662,0.7648636847734451,0.624561403508772,0.6328125
0.6993278397454156,0.7219737023115158,0.6421052631578947,0.6484375
0.6719792750146654,0.7219737023115158,0.6754385964912281,0.6484375
0.6785900195439657,0.7238270491361618,0.6631578947368421,0.6484375
0.6731979383362664,0.7173350751399994,0.6736842105263158,0.609375
0.6885958976215787,0.7161122560501099,0.6035087719298246,0.5625
0.6720024281077914,0.721134215593338,0.6350877192982456,0.65625
0.6723151604334513,0.7062475085258484,0.6403508771929824,0.65625
0.6501800484127469,0.7233748733997345,0.6631578947368421,0.65625
0.655331724219852,0.6948861628770828,0.6649122807017543,0.6640625
0.6436618169148763,0.6909134089946747,0.6719298245614035,0.5703125
0.6438032123777602,0.6879897266626358,0.6543859649122807,0.671875
0.6449270513322618,0.6879897266626358,0.6894736842105263,0.671875
0.6537139813105265,0.679424375295639,0.6754385964912281,0.6796875
0.6450687580638461,0.6774307489395142,0.6964912280701754,0.65625
0.6496530241436429,0.6895754337310791,0.6684210526315789,0.5625
0.6404435171021355,0.6750354468822479,0.6473684210526316,0.6015625
0.6494446463055081,0.6972107291221619,0.6385964912280702,0.5
0.6717876593271891,0.680965930223465,0.612280701754386,0.5625
0.6448225975036621,0.6540176570415497,0.6210526315789474,0.703125
0.6259731584125094,0.6601305603981018,0.6894736842105263,0.6171875
0.6197779840893216,0.6559992730617523,0.6807017543859649,0.703125
0.6219178438186646,0.6559992730617523,0.7017543859649122,0.703125
0.6155714723798964,0.6498216092586517,0.712280701754386,0.6953125
0.6211901638242934,0.6514216214418411,0.6894736842105263,0.703125
0.6239308052592807,0.6623841524124146,0.7087719298245614,0.6796875
0.6422582136260139,0.6572843790054321,0.6491228070175439,0.6015625
0.6389766467942132,0.6381485760211945,0.6280701754385964,0.6875
0.6160694228278266,0.665348619222641,0.7105263157894737,0.5703125
0.613676044676039,0.6357685625553131,0.6807017543859649,0.6953125
0.606027301814821,0.6404149979352951,0.6912280701754386,0.6953125
0.6004682448175218,0.6304249614477158,0.724561403508772,0.7109375
0.5842955840958489,0.6304249614477158,0.7421052631578947,0.7109375
0.5964976284239027,0.63372702896595,0.7228070175438597,0.71875
0.6027636528015137,0.6287140399217606,0.7105263157894737,0.7109375
0.6037016444736056,0.626352921128273,0.7087719298245614,0.71875
0.6435718337694804,0.7143073827028275,0.6526315789473685,0.640625
0.6248607834180196,0.6240196377038956,0.656140350877193,0.71875
0.6025130086474948,0.6394700109958649,0.6912280701754386,0.6953125
0.6175608899858263,0.6314763426780701,0.6736842105263158,0.6953125
0.5897783173455132,0.6267409473657608,0.7157894736842105,0.6953125
0.5982654028468661,0.615289032459259,0.7105263157894737,0.7265625
0.586402542061276,0.615289032459259,0.7087719298245614,0.7265625
0.5827894541952345,0.6143170595169067,0.7368421052631579,0.7109375
0.5880200001928542,0.6154568791389465,0.7105263157894737,0.7109375
0.592212438583374,0.6130669713020325,0.7035087719298245,0.71875
0.5952566332287259,0.6112967133522034,0.7035087719298245,0.7109375
0.592293467786577,0.6150085926055908,0.7263157894736842,0.703125
0.6025037235683866,0.6387029886245728,0.724561403508772,0.6875
0.5845622155401442,0.7229757010936737,0.712280701754386,0.625
0.6447710990905762,0.6037731021642685,0.6087719298245614,0.7109375
0.5880979167090522,0.6124601811170578,0.7140350877192982,0.71875
0.5918328828281827,0.6124601811170578,0.7070175438596491,0.71875
0.5886071721712748,0.6080014407634735,0.7192982456140351,0.71875
0.5928975873523288,0.604203462600708,0.7280701754385965,0.7265625
0.60219939549764,0.6003010720014572,0.7070175438596491,0.7265625
0.6241172618336148,0.6712223589420319,0.631578947368421,0.484375
0.6386575765079923,0.6435506343841553,0.5982456140350877,0.5703125
0.6169424321916368,0.5985231846570969,0.6982456140350877,0.7109375
0.5842700997988383,0.6087563335895538,0.724561403508772,0.7109375
0.5769654909769694,0.5932291597127914,0.7280701754385965,0.71875
0.5669699079460568,0.5920103490352631,0.7298245614035088,0.71875
0.573304620054033,0.5920103490352631,0.712280701754386,0.71875
0.5604984561602274,0.5926607847213745,0.7298245614035088,0.71875
0.5677273505263858,0.5914078503847122,0.7280701754385965,0.71875
0.5667128165562948,0.5944232940673828,0.724561403508772,0.7265625
0.5630971988042196,0.5897881984710693,0.743859649122807,0.7421875
